t,q1,q2,q1dot,q2dot,q1ddot,q2ddot
18.5949,120.713,57.15,6.24671e-06,-6.25e-06,0.0025,-0.0025
18.5999,120.713,57.15,2.49967e-05,-2.5e-05,0.005,-0.005
18.6049,120.713,57.15,5.62467e-05,-5.625e-05,0.0075,-0.0075
18.6099,120.713,57.15,9.99967e-05,-8.99775e-05,0.01,-0.00552285
18.6149,120.713,57.15,0.000156247,-0.000111342,0.0125,-0.00302285
18.6199,120.713,57.15,0.000224997,-0.000120206,0.015,-0.000522846
18.6249,120.713,57.15,0.000306247,-0.000120479,0.0175,0
18.6299,120.713,57.15,0.000399997,-0.000120479,0.02,0
18.6349,120.713,57.15,0.000506247,-0.000120479,0.0225,0
18.6399,120.713,57.15,0.000624997,-0.000120479,0.025,0
18.6449,120.713,57.15,0.000756247,-0.000120479,0.0275,0
18.6499,120.713,57.15,0.000899996,-0.000120479,0.03,0
18.6549,120.713,57.15,0.00105625,-0.000120479,0.0325,0
18.6599,120.713,57.15,0.001225,-0.000120479,0.035,0
18.6649,120.713,57.15,0.00140625,-0.000120479,0.0375,0
18.6699,120.713,57.15,0.0016,-0.000120479,0.04,0
18.6749,120.713,57.15,0.00180625,-0.000120479,0.0425,0
18.6799,120.713,57.15,0.002025,-0.000120479,0.045,0
18.6849,120.713,57.15,0.00225625,-0.000120479,0.0475,0
18.6899,120.713,57.15,0.0025,-0.000120479,0.05,0
18.6949,120.713,57.15,0.00275625,-0.000120479,0.0525,0
18.6999,120.644,57.2502,0.003025,-0.000120479,0.055,0
18.7049,120.634,57.2642,0.00330625,-0.000120479,0.0575,0
18.7099,120.623,57.2793,0.0036,-0.000120479,0.06,0
18.7149,120.612,57.2957,0.00390625,-0.000120479,0.0625,0
18.7199,120.599,57.3133,0.004225,-0.000120479,0.065,0
18.7249,120.585,57.3326,0.00455625,-0.000120479,0.0675,0
18.7299,120.571,57.3531,0.0049,-0.000120479,0.07,0
18.7349,120.555,57.3752,0.00525625,-0.000120479,0.0725,0
18.7399,120.539,57.3986,0.005625,-0.000120479,0.075,0
18.7449,120.521,57.4237,0.00600625,-0.000120479,0.0775,0
18.7499,120.502,57.4505,0.0064,-0.000120479,0.08,0
18.7549,120.481,57.479,0.00680624,-0.000120479,0.0825,0
18.7599,120.459,57.5098,0.00722499,-0.000120479,0.085,0
18.7649,120.437,57.5415,0.00765624,-0.000120479,0.0875,0
18.7699,120.412,57.5755,0.00809999,-0.000120479,0.09,0
18.7749,120.387,57.6112,0.00855624,-0.000120479,0.0925,0
18.7799,120.375,57.6,0.00902499,-0.000120479,0.095,0
18.7849,120.33,57.6895,0.00950624,-0.000120479,0.0975,0
18.7899,120.3,57.7313,0.00999999,-0.000120479,0.1,0
18.7948,120.27,57.7746,0.0105062,-0.000120479,0.1025,0
18.7998,120.237,57.8206,0.011025,-0.000120479,0.105,0
18.8048,120.202,57.8692,0.0115562,-0.000120479,0.1075,0
18.8098,120.166,57.9195,0.0121,-0.000120479,0.11,0
18.8148,120.128,57.9723,0.0126562,-0.000120479,0.1125,0
18.8198,120.088,58.0276,0.013225,-0.000120479,0.115,0
18.8248,120.047,58.0851,0.0138062,-0.000120479,0.1175,0
18.8298,120.004,58.145,0.0144,-0.000120479,0.12,0
18.8348,119.959,58.2077,0.0150062,-0.000120479,0.1225,0
18.8398,119.913,58.2725,0.015625,-0.000120479,0.125,0
18.8448,119.863,58.3404,0.0162562,-0.000120479,0.1275,0
18.8498,119.813,58.4102,0.0169,-0.000120479,0.13,0
18.8548,119.812,58.3875,0.0175562,-0.000120479,0.1325,0
18.8598,119.707,58.5586,0.018225,-0.000120479,0.135,0
18.8648,119.65,58.6369,0.0189062,-0.000120479,0.1375,0
18.8698,119.591,58.718,0.0196,-0.000120479,0.14,0
18.8748,119.531,58.8017,0.0203062,-0.000120479,0.1425,0
18.8798,119.468,58.8885,0.021025,-0.000120479,0.145,0
18.8848,119.403,58.9781,0.0217562,-0.000120479,0.1475,0
